oiltypeid,oilgradeid,oilhours,machinehours,PQI,Fe,Cu,Cr,Pb,Ni,Al,Si,Na,K,Mo,B,Ba,Mg,Ca,Zn,P,Ag,Mn,V,Ti,Cd,H2O,F,V40,OXI,NIT,SUL,ISO6,ISO14,X6,X10,X14,X21,X25,X38,X70
1-3,85W-140,601.0,7741,9,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,<1,<1,1 to 132,2,1 to 286,1 to 1129,1 to 366,797,<1,<1,<1,<1,<1,0.0,N,323.8,6,5,17,0 to 6,0 to 6,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,773.0,7786,11,1 to 192,<1,<1,1 to 17,<1,<1,1 to 12,<1,<1,<1,1 to 132,<1,<1,1 to 1129,1 to 366,739,<1,<1,<1,<1,<1,0.0,N,349.7,6,5,16,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,1242.0,9095,10,1 to 192,<1,<1,1 to 17,<1,<1,1 to 12,1 to 98,<1,<1,1 to 132,<1,<1,1 to 1129,1 to 366,784,<1,<1,<1,<1,<1,0.0,N,304.6,6,5,16,18 to 23,12 to 18,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-1,30,484.0,3277,4,1 to 192,<1,<1,17 to 33,1 to 7,1 to 37,1 to 12,1 to 98,1,<1,1 to 132,<1,1 to 286,3385 to 4514,731 to 1096,803,<1,<1,<1,<1,<1,0.0,N,102.9,11,4,16,18 to 23,18 to 22,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-2,15W-40,267.0,9388,9,1 to 192,1 to 71,2,1 to 17,<1,<1,<1,1 to 98,2,43 to 58,<1,<1,571 to 856,1 to 1129,1096 to 1462,944,<1,<1,<1,<1,<1,0.0,N,100.9,11,7,17,,,,,,,,,
1-3,85W-140,89.0,89,569,1 to 192,1 to 71,<1,<1,<1,<1,1 to 12,1 to 98,<1,<1,1 to 132,<1,<1,1 to 1129,1 to 366,1002,<1,<1,<1,<1,<1,0.0,N,337.3,5,4,16,18 to 23,18 to 22,30186 to 45279,29418 to 39225,23346 to 31127,13386 to 17848,1613 to 3226,435 to 581,48 to 62
2-2,15W-40,191.0,8484,0,1 to 192,1 to 71,2,1 to 17,<1,<1,1 to 12,1 to 98,<1,43 to 58,<1,<1,856 to 1140,1129 to 2257,1096 to 1462,1018,<1,<1,<1,<1,<1,0.0,N,106.6,16,9,21,,,,,,,,,
2-1,75W-90,500.0,7629,28,1 to 192,<1,<1,<1,<1,1 to 37,1 to 12,1 to 98,2,<1,132 to 263,<1,286 to 571,1129 to 2257,366 to 731,1285,<1,<1,<1,<1,<1,0.0,N,95.8,37,4,42,18 to 23,12 to 18,30186 to 45279,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-1,75W-90,1242.0,9095,2,1 to 192,1 to 71,<1,<1,<1,1 to 37,1 to 12,<1,<1,<1,1 to 132,<1,1 to 286,3385 to 4514,731 to 1096,854,<1,<1,<1,<1,<1,0.0,N,91.4,11,4,15,18 to 23,18 to 22,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-2,15W-40,574.0,8539,0,1 to 192,1 to 71,2,1 to 17,<1,<1,1 to 12,1 to 98,<1,43 to 58,<1,<1,856 to 1140,1129 to 2257,1096 to 1462,1072,<1,<1,<1,<1,<1,0.0,N,108.4,18,11,23,,,,,,,,,
